date,date_posted,headline,text
2020-09-22 00:00:00,20 days ,Volkswagen's electric SUV opens a new front against Tesla,Volkswagen AG's <VOWG_p.DE> U.S. subsidiary on Wednesday revealed its ID.4 electric sport utility vehicle and a pricing strategy aimed at opening a new front in competition with Tesla Inc and other automakers.
2020-09-22 00:00:00,20 days ,Volkswagen reveals ID.4 electric SUV with 250-mile range,"Volkswagen AG's U.S. subsidiary on Wednesday revealed its electric sport utility vehicle ID.4, which it aims to begin selling in the first quarter of 2021, and said the compact EV will have an estimated driving range of 250 miles."
2020-09-22 00:00:00,20 days ,"Tesla's ""Battery Day"" drives reality check for recent share surge","Tesla Inc faced a stock market reality check on Wednesday after a much hyped ""Battery Day"" event which Wall Street analysts judged chiefly for its omissions and hazy delivery deadlines."
2020-09-22 00:00:00,20 days ,Asian suppliers' shares slip on Tesla's cheaper battery plan,Shares of Asian battery suppliers fell on Wednesday after Tesla Inc <TSLA.O> outlined a plan to halve the cost of its electric vehicle batteries and bring more production of the key auto component in-house.
2020-09-22 00:00:00,20 days ,Tesla's value drops $50 billion as Musk's promised cheaper battery three years away,"Investors slashed $50 billion from Tesla Inc's <TSLA.O> market value on Tuesday despite CEO Elon Musk's promise to cut electric vehicle costs so radically that a $25,000 car that drives itself will be possible, but not for at least three years."
2020-09-22 00:00:00,20 days ,Panasonic weighs options over Tesla new battery production,"Panasonic Corp <6752.T> is studying options for new electric car battery production with partner Tesla <TSLA.O> after the U.S. carmaker unveiled a plan to expand output and halve the price of the key auto component, the Japanese firm said on Wednesday."
2020-09-21 00:00:00,21 days ,The Musk Method: Learn from partners then go it alone,Elon Musk is hailed as an innovator and disruptor who went from knowing next to nothing about building cars to running the world's most valuable automaker in the space of 16 years.
2020-09-21 00:00:00,21 days ,Elon Musk expected to use Tesla 'Battery Day' to argue for the end of combustion engines,"Tesla Inc CEO Elon Musk on Tuesday is scheduled to showcase the company's advanced battery technology, with investors expecting he will outline how the company's electric vehicles will surpass the cost and convenience of internal combustion engines."
2020-09-21 00:00:00,21 days ,Tesla's Musk sees no immediate boost from 'Battery Day' tech unveil,"Tesla Inc <TSLA.O> CEO Elon Musk said improvements to be unveiled at the electric-vehicle maker's ""Battery Day"" event would not reach ""serious high-volume production"" until 2022, knocking its shares down."
2020-09-20 00:00:00,22 days ,Musk says 'Battery Day' unveil will not reach high-volume production until 2022,"Tesla Inc Chief Executive Elon Musk said on Monday improvements unveiled at the electric-car maker's ""Battery Day"" event would not reach serious high-volume production until 2022."
