date,date_posted,headline,text
2020-09-22,21 days ,asian suppliers' shares slip on tesla's cheaper battery plan,shares of asian battery suppliers fell on wednesday after tesla inc  outlined a plan to halve the cost of its electric vehicle batteries and bring more production of the key auto component in-house.
2020-09-22,21 days ,tesla's value drops $50 billion as musk's promised cheaper battery three years away,"investors slashed $50 billion from tesla inc's  market value on tuesday despite ceo elon musk's promise to cut electric vehicle costs so radically that a $25,000 car that drives itself will be possible, but not for at least three years."
2020-09-22,21 days ,panasonic weighs options over tesla new battery production,"panasonic corp  is studying options for new electric car battery production with partner tesla  after the u.s. carmaker unveiled a plan to expand output and halve the price of the key auto component, the japanese firm said on wednesday."
2020-09-21,22 days ,the musk method: learn from partners then go it alone,elon musk is hailed as an innovator and disruptor who went from knowing next to nothing about building cars to running the world's most valuable automaker in the space of 16 years.
2020-09-21,22 days ,elon musk expected to use tesla 'battery day' to argue for the end of combustion engines,"tesla inc ceo elon musk on tuesday is scheduled to showcase the company's advanced battery technology, with investors expecting he will outline how the company's electric vehicles will surpass the cost and convenience of internal combustion engines."
2020-09-21,22 days ,tesla's musk sees no immediate boost from 'battery day' tech unveil,"tesla inc  ceo elon musk said improvements to be unveiled at the electric-vehicle maker's ""battery day"" event would not reach ""serious high-volume production"" until 2022, knocking its shares down."
2020-09-20,23 days ,musk says 'battery day' unveil will not reach high-volume production until 2022,"tesla inc chief executive elon musk said on monday improvements unveiled at the electric-car maker's ""battery day"" event would not reach serious high-volume production until 2022."
2020-09-20,23 days ,tesla traders bet on musk battery pitch to spark rally,"fasten your seatbelt, because tuesday is tesla's ""battery day"", and some investors expect chief executive elon musk's pitch on the electric car maker's energy storage advances to re-energize its rally following a recent 21% stock slump."
2020-09-20,23 days ,explainer: how to interpret tesla’s battery day lingo,confused by kilowatts? can’t tell an anode from a cathode? here is a simple guide to the jargon likely to be tossed around at tesla’s battery day on sept. 22.
2020-09-18,25 days ,"judge narrows tesla lawsuit against former employee, dismisses defamation counterclaim",a federal judge narrowed tesla inc's  lawsuit against a former employee it accused of hacking into its computers and leaking proprietary data to a reporter. the judge also dismissed a defamation counterclaim by the former employee.
2020-09-13,30 days ,"tesla wins case against former employee accused of hacking, transferring data","u.s. electric carmaker tesla inc won its case against a former employee, who was fired for hacking and transferring company data to third parties, according to court documents filed on thursday."
2020-09-13,30 days ,lg chem plans to separate battery business as electric cars take off,"south korea's lg chem, an electric car battery supplier for tesla inc and gm said on thursday it plans to separate its battery business into a new company as the electric vehicle market takes off."
2020-09-13,30 days ,"tesla shares rally again, boosted by 'battery day' excitement","tesla inc's stock was set for a fifth consecutive session of gains as anticipation heats up for its ""battery day"" event next week, recouping some of its recent valuation slump following a sell-off and surprise exclusion from the s&p."
2020-09-13,30 days ,tesla investors should be watching for m&a for s&p inclusion,"tesla inc  investors were disappointed after the company was snubbed in the s&p 500's latest round of inclusions, but the electric automaker's entry could still happen at any time and a merger by others in the benchmark index might help."
2020-09-13,30 days ,tesla plans to export china-made model 3s to asia and europe - sources,"tesla is planning to export model 3 vehicles made in china to asian and european markets, two sources familiar with the matter told reuters on friday."
2020-09-13,30 days ,tesla shares set to rally for third day after record slump,"a rebound in tesla inc shares was set to extend into a third straight session on friday, recouping more of a record 21% drop earlier this week that wiped $80 billion off the electric-car maker's market capitalization."
2020-09-13,30 days ,options market signals bumpy ride for tesla shares,"tesla  shares edged up on thursday in u.s. premarket trade, extending a recovery from this week's drop, but analysts see a bumpy ride ahead as an extreme build-up in derivative positions caps the stock and precludes a full rebound."
2020-09-13,30 days ,tesla shares bounce after record plunge,"tesla inc  shares bounced on wednesday, a day after the electric car maker suffered the biggest one-day percentage drop in the company's history."
2020-09-13,30 days ,"tesla loses more than combined gm, ford market value","tesla inc shed about $80 billion of its market value on tuesday, an amount that overshadows the combined value of general motors co and ford motor co, after its surprise exclusion from the s&p 500 index."
2020-09-13,30 days ,"stocks end lower as tech swoon persists, tesla in historic drop","u.s. stocks closed lower for a third straight session on tuesday as heavyweight technology names extended their sell-off to send the nasdaq into correction territory, while tesla suffered its biggest daily percentage drop after the stock was passed over for inclusion in..."
2020-09-13,30 days ,"investors cheer as gm, nikola join forces to build electric trucks","general motors co  and electric truck startup nikola corp  will join forces to build electric pickup trucks and fuel cell commercial trucks to take on tesla inc , in a deal that lifted shares in both companies on tuesday."
2020-09-13,30 days ,"stocks end lower as tech swoon persists, tesla tumbles","u.s. stocks closed lower for a third straight session on tuesday as heavyweight technology names extended their sell-off, while tesla suffered its biggest daily percentage drop after the stock was passed over for inclusion in the s&p 500."
2020-09-13,30 days ,"us stocks-stocks fall as tech remains under pressure, tesla tumbles","* dow down 1.45%, s&p 500 down 1.93%, nasdaq down 2.92% (updates to mid-afternoon, changes byline)"
2020-09-13,30 days ,"us stocks-nasdaq slides as tech rout deepens, tesla hits three-week low","* indexes off: dow 1.48%, s&p 1.89%, nasdaq 2.70% (updates to early afternoon)"
2020-09-13,30 days ,"us stocks-nasdaq slides as tech rout deepens, tesla hits three-week low","* indexes off: dow 1.80%, s&p 2.08%, nasdaq 2.85% (adds comment, details and updates share prices to midday)"
2020-09-13,30 days ,"us stocks-nasdaq slides as tech rout deepens, tesla hits three-week low","* indexes off: dow 1.91%, s&p 2.06%, nasdaq 2.53% (adds comments, details; updates prices)"
2020-09-13,30 days ,"us stocks-slump in tesla, apple hits wall st as tech rout deepens","* indexes off: dow 1.96%, s&p 2.36%, nasdaq 3.35% (updates to open)"
2020-09-13,30 days ,"move aside robots, tesla bets on aluminium casting","robots are not efficient enough for tesla's new car factory in germany, which plans to replace hundreds of them with giant aluminium casting machines to build simpler chassis parts, a person familiar with the matter told reuters."
2020-09-13,30 days ,us stocks snapshot-nasdaq slides 3% as tech rout deepens,"the nasdaq tumbled more than 3% at the open on tuesday as investors sold off shares of tesla and other tech heavyweights, while simmering u.s.-china tensions and concerns over a rocky economic rebound also weighed on sentiment."
2020-09-13,30 days ,tesla shares fall as it fails to make it into s&p 500 index,tesla inc tumbled 15% early on tuesday after its surprise exclusion from the s&p 500 index added to the broader sell-off in technology stocks which have dominated wall street's recovery from the coronavirus-driven crash earlier this year.
2020-09-13,30 days ,"gm venture's mini car becomes china's most sold ev, surpassing tesla's model 3","a micro electric vehicle (ev) by general motors' local chinese joint venture becomes the most sold ev model in china, with 15,000 cars sold in china last month, followed by tesla inc's 11,800 model 3 sedans, industry data showed."
2020-09-13,30 days ,bosnian tesla fan impatient for cybertruck release builds a lookalike,"a bosnian fan of both ford trucks and elon musk's tesla could not just sit on his hands waiting for the electric carmaker to release its cybertruck, expected from late 2021. instead he came up with his own version of the futuristic vehicle."
2020-09-13,30 days ,"vw not seeking a deal with tesla, ceo diess says","volkswagen's <vowg_p.de> chief executive herbert diess on monday sought to quell speculation that the world's largest carmaker, which is on a mass production push for electric cars, has plans to develop deeper ties with start-up rival tesla."
2020-09-13,30 days ,"etsy gets into s&p 500, tesla does not","shares of tesla  tumbled 7% in extended trade on friday after the electric car maker was excluded from a group of companies being added to the s&p 500, among them etsy, whose stock market value is less than a 20th of tesla's."
2020-09-13,30 days ,tesla not added to s&p 500 in latest index changes,tesla inc was not part of the companies to be added to the s&p 500 as per a list unveiled by the index's manager s&p dow jones indices on friday.
2020-09-13,30 days ,tesla ceo met vw ceo during germany visit: source,"tesla chief executive elon musk met volkswagen's chief executive herbert diess for a courtesy visit during which musk took a test drive in volkswagen's new electric car, a source familiar with the matter said on friday."
2020-09-13,30 days ,tesla retreats for third day as investors cash in on gains,"tesla inc  shares fell for a third straight day on thursday, as investors who have been betting on the electric-car maker's growth prospects cashed in on the meteoric rally in the stock price this year."
2020-09-13,30 days ,"musk promises tesla design overhaul, 'ravecave' at berlin plant","tesla's  will use its plant in brandenburg, germany to demonstrate a radical overhaul of how its cars are built, as well as making electric car battery cells and battery packs, chief executive elon musk said on thursday."
2020-09-13,30 days ,tesla's musk praises curevac as among most innovative firms: source,"silicon valley entrepreneur elon musk praised german vaccine developer curevac  as one the world's most innovative firms in a conversation with german economy minister peter altmaier, a person familiar with the matter told reuters on thursday."
2020-09-13,30 days ,tesla's musk considers curevac as one of most innovative firms - source,"silicon valley entrepreneur elon musk and german economy minister peter altmaier consider vaccine company curevac as one the world's most innovative firms, a source said on thursday, after musk and altmaier met on wednesday."
2020-09-13,30 days ,"tesla's musk discusses vaccine project, car plant with german politicians",tesla inc's ceo elon musk met with three german ministers and other senior politicians on wednesday to discuss the progress of a collaboration between the car maker and a german biotech company and a planned electric vehicle factory.
2020-09-13,30 days ,"after tesla's fart mode, mercedes bets on comfort to blow customers away","mercedes-benz engineers are striving to meet every definition of comfort in the new s-class sedan as they try to steal a march on rival tesla, which wowed audiences with its ""fart mode."""
2020-09-13,30 days ,tesla tumbles 15% as blistering rally cools,"tesla inc shares fell as much as 15% on wednesday, extending previous session's losses after the electric-car maker announced a $5 billion stock offering that was aimed at cashing in on wall street's heightened interest."
2020-09-13,30 days ,tesla tests the circuits for german energy market push,"by vera eckert, christoph steitz, tom käckenhoff and edward taylor"
